,extent.ymax_group,tmax_wt,tmax_sp,tmax_sm,tmax_at,tmin_wt,tmin_sp,tmin_sm,tmin_at,tave_wt,tave_sp,tave_sm,tave_at,ppt_wt,ppt_sp,ppt_sm,ppt_at,dd_0_wt,dd_0_sp,dd_0_sm,dd_0_at,dd5_wt,dd5_sp,dd5_sm,dd5_at,nffd_wt,nffd_sp,nffd_sm,nffd_at,pas_wt,pas_sp,pas_sm,pas_at,eref_wt,eref_sp,eref_sm,eref_at,cmd_wt,cmd_sp,cmd_sm,cmd_at,mat,mwmt,mcmt,td,map,ahm,dd_0,dd5,nffd,pas,emt,ext,eref,cmd,rng_size,extent.ymax,variance
29,32,15.89038462,25.03076923,32.75,25.525,0.471153846,8.357692308,17.85961538,9.471153846,81.84615385,166.5,253.5,174.9807692,216.3846154,180.4230769,254.1730769,169.8269231,28.88461538,2.442307692,0,1.865384615,356.5384615,1073.846154,1866.634615,1140.269231,31.63461538,83.82692308,92,82.34615385,1.384615385,0,0,0,178.5384615,429.5,559.3461538,320.9807692,66.59615385,270.2307692,306.0769231,164.6923077,16.93846154,25.85769231,7.238461538,18.57115385,820.8076923,78.76538462,33.17307692,4437.711538,289.3846154,1.384615385,-20.03846154,40.425,1488.365385,807.5961538,29.33653834,31.77884566,60.46346154
30,33,13.61052632,20.04912281,26.34385965,22.28421053,3.749122807,10.25964912,17.29122807,11.96666667,86.59649123,151.5438596,218.4736842,171.1578947,187.7894737,143.0350877,229.0877193,105.6842105,39.52631579,3.263157895,0,1.596491228,453.6842105,946.0877193,1547.964912,1108.789474,47.01754386,86.14035088,92,87.66666667,6.666666667,0,0,0,142.1929825,311.4561404,399.0877193,248.0350877,42.07017544,194.0877193,296,163.0175439,15.68245614,22.5754386,7.556140351,15.01929825,665.1929825,109.3754386,44.78947368,4056.859649,312.8245614,6.666666667,-11.7877193,37.35964912,1100.77193,695.1754386,40.27192967,32.86842056,49.14736842
31,34,17.13333333,23.7,32.1,27.36666667,7.766666667,13.16666667,20.86666667,17.1,124,184.3333333,265,222,203.6666667,64.66666667,1.333333333,71.66666667,8.333333333,1,0,0,686.6666667,1232.666667,1976,1562.666667,85.33333333,92,92,91,0,0,0,0,154.6666667,355,496.6666667,283,58,290.3333333,495.3333333,218.3333333,19.9,27.56666667,11.5,16.03333333,341.3333333,141.4333333,9.333333333,5458.333333,360.3333333,0,-9.366666667,39.63333333,1289.333333,1062,19.33333325,33.4999995,49
32,35,0.9,8.9,15.6,8.5,-18.8,-5.8,3.1,-5.5,-90,16,94,15,12,127,343,158,829,156,1,190,4,86,408,102,0,0,69,0,11,37,12,48,0,169,320,125,0,57,4,6,0.9,10.4,-10.4,20.7,640,17,1175,600,69,108,-44.7,27.7,614,67,34.26470575,34.4999995,72.4
33,36,10.89333333,20.25333333,28.99333333,21.64666667,0.473333333,8.286666667,17.67333333,9.893333333,56.66666667,142.8,233.4666667,157.8666667,363.4666667,339.8666667,236.0666667,280.4666667,68,5.933333333,0,3.466666667,274.2666667,877.5333333,1684.533333,996.6,28.73333333,76.33333333,92,76.86666667,10.73333333,0.333333333,0,0.333333333,114.3333333,325.0666667,454.9333333,238.1333333,0,51.13333333,218.6666667,42.33333333,14.74666667,24.12666667,4.673333333,19.41333333,1220.2,23.72666667,77.33333333,3832.733333,273.8,11.06666667,-19.96666667,37.61333333,1132.466667,312.1333333,10.86666662,35.63333283,57.58
34,37,-2.267045455,9.844318182,21.04886364,10.76818182,-15.125,-3.322727273,8.107954545,-2.903409091,-86.81818182,32.57954545,145.75,39.375,68.65909091,132.2954545,204.0227273,92.96590909,879.3522727,318.3977273,9.261363636,270.4659091,27.06818182,371.3977273,957.6477273,378.4545455,1.602272727,30.70454545,60.23863636,31.31818182,40,53.06818182,10.17045455,16.07954545,22.03409091,178.5113636,379.8181818,136.4090909,10.05681818,107.9886364,186.9204545,63.02272727,3.269318182,15.70454545,-10.09090909,25.84204545,497.9431818,26.82159091,1477.261364,1734.886364,123.9772727,119.4886364,-39.02613636,33.15909091,716.7727273,367.9886364,37.96590894,36.85795404,72.18522727
35,38,3.345,13.32375,26.55375,16.86125,-6.6425,1.905,12.64625,4.25,-16.3,76.2,196.175,105.2625,154.325,110.9375,46.675,92.7,538.3875,143.6375,0.3375,98.4375,178.025,522.3625,1346.7875,708.5875,25.3,48.65,85.025,51.775,16.5625,14.1125,0.3375,3.425,59.15,233.425,452.375,188.1625,5.35,134.8,405.375,114.3,9.01375,21.00625,-2.95125,23.98625,404.875,58.42375,780.5125,2755.7625,210.95,34.6,-28.11875,37.885,933.1125,659.825,33.69374987,37.53124949,66.00375
36,39,2.517647059,12.27058824,25.26470588,15.57647059,-5.235294118,3.282352941,12.29411765,4.547058824,-13.23529412,78.11764706,187.6470588,100.4705882,250.0588235,321.0588235,39.29411765,131.7058824,423.7058824,56.94117647,0,38.41176471,152.9411765,424.7058824,1268.352941,583.8823529,26,48.94117647,92,48.64705882,148.2352941,31.05882353,0,7.058823529,25.29411765,191.9411765,416.9411765,180.6470588,0,33.23529412,377.6470588,87.52941176,8.8,19.93529412,-2.641176471,22.60588235,742.1176471,27.3,519.0588235,2429.588235,215.2941176,187.0588235,-26.74117647,36.11764706,814.8235294,498.4117647,31.70588222,38.6470583,62.85882353
37,40,1.081818182,10.28181818,22.29090909,14.05151515,-8.084848485,-0.178787879,9.521212121,2.4,-34.81818182,50.33333333,158.7878788,82.15151515,193.9393939,240.6969697,178.7878788,188.3030303,545.1515152,160.2424242,0.484848485,76.57575758,116.6666667,346.0909091,1009.060606,486.3333333,13.63636364,31.12121212,77.93939394,34.81818182,59.57575758,64.54545455,2.424242424,22.51515152,17.60606061,172.0606061,377.8181818,157.4242424,0,28.24242424,198.6969697,45.54545455,6.442424242,17.18787879,-4.590909091,21.7969697,801.6363636,42.03030303,783,1957.939394,157.3636364,149.2727273,-30.2969697,33.62121212,724.9090909,272.4848485,32.77272714,39.83333281,63.91818182
38,41,3.409090909,16.75454545,29.51818182,18.65454545,-8.536363636,2.663636364,15.09090909,4.363636364,-25.45454545,97.09090909,223.5454545,115.2727273,102,226.0909091,277,177.5454545,343.3636364,29.45454545,0,15.54545455,28,546.8181818,1593.181818,665.9090909,2.636363636,48.09090909,92,55.90909091,41.81818182,2.545454545,0,1,0,286.7272727,480,206.7272727,0,72.27272727,203,51.72727273,10.27272727,23.65454545,-3.890909091,27.54545455,783,28.54545455,388.3636364,2833.909091,198.2727273,45.36363636,-31.82727273,40.38181818,973.4545455,327,15.81818175,40.86363584,72.20909091
