,extent.ymax_group,tmax_wt,tmax_sp,tmax_sm,tmax_at,tmin_wt,tmin_sp,tmin_sm,tmin_at,tave_wt,tave_sp,tave_sm,tave_at,ppt_wt,ppt_sp,ppt_sm,ppt_at,dd_0_wt,dd_0_sp,dd_0_sm,dd_0_at,dd5_wt,dd5_sp,dd5_sm,dd5_at,nffd_wt,nffd_sp,nffd_sm,nffd_at,pas_wt,pas_sp,pas_sm,pas_at,eref_wt,eref_sp,eref_sm,eref_at,cmd_wt,cmd_sp,cmd_sm,cmd_at,mat,mwmt,mcmt,td,map,ahm,dd_0,dd5,nffd,pas,emt,ext,eref,cmd,rng_size,extent.ymin,season_var
31,-19,23.5,22.26041667,19.71458333,24.41875,10.4875,7.285416667,1.647916667,7.925,170.2083333,147.6458333,106.6666667,162.125,335.75,114.0208333,25.95833333,101.3125,31.16666667,47.45833333,95.27083333,42.85416667,1153.125,1026.854167,781.2916667,1157.5,60.25,59.41666667,59.41666667,58.77083333,2.833333333,2.125,1.770833333,1.770833333,556.7291667,416.5625,286.1875,536.0833333,220.9791667,302.5416667,262,435.8333333,14.6625,11.85,16.74583333,-4.895833333,577.2291667,42.63125,216.75,4119.3125,237.8541667,8.145833333,-5.983333333,23.29375,1795.5625,1221.354167,27.64583322,-18.50000029,6.354166667
32,-18.5,28.6,28.5,26.3,27,22.2,22.1,20.1,20.7,254,253,232,238,874,480,225,355,0,0,0,0,1809,1846,1669,1704,90,92,92,91,0,0,0,0,495,399,314,450,0,0,90,112,24.4,23,25,-2,1934,17.8,0,7027,365,0,40.9,41.5,1658,202,1.99999999,-18.00000029,2.2
33,-18,34.1,31.8,29,35.2,22.2,19.4,14.8,20.1,281,256,219,277,474,182,39,114,0,0,0,0,2070,1880,1550,2048,90,92,92,91,0,0,0,0,720,558,464,758,246,376,425,644,25.8,23,28,-5,809,44.3,0,7547,365,0,13.8,28.8,2500,1691,23.71428562,-17.50000029,6.2
34,-14.5,30.4,30,30.7,32,19.5,18.2,15.1,18.3,249,241,229,251,715,382,60,356,0,0,0,0,1770,1738,1647,1817,90,92,92,91,0,0,0,0,617,533,519,665,0,165,459,309,24.3,23.9,24.8,-0.9,1513,22.6,0,6973,365,0,8.8,31,2334,933,22.49999991,-14.00000031,2.2
35,-14,26.4,26.2,24.5,29.9,16.7,13.1,7.3,14.8,215,196,159,224,817,194,1,158,1,0,0,0,1484,1342,1004,1577,90,92,92,91,0,0,0,0,534,499,455,651,0,305,454,493,19.9,17.5,21.5,-4,1169,25.5,1,5407,365,0,3.6,26.5,2139,1252,24.3999999,-13.50000031,6.5
36,-13,29.6,29.8,27.6,28.6,23.1,22.4,19.5,20.8,264,261,235,247,841,597,238,237,0,0,0,0,1913,1921,1702,1784,90,92,92,91,0,0,0,0,486,445,386,495,0,2,148,258,25.2,23.4,26.3,-2.9,1913,18.4,0,7319,365,0,15.7,28.9,1812,408,7.499999968,-12.50000031,2.9
37,-12.5,30.09,29.69,27.99,30.86,22.68,21.68,18.93,22.2,264.2,257,234.4,265.3,809.7,542.3,184.5,219.9,0,0,0,0,1914.5,1886.5,1695,1946.7,90,92,92,91,0,0,0,0,514.1,457.2,406.3,538.7,0,84.7,273.7,331.1,25.54,23.76,26.32,-2.56,1756.4,22.66,0,7443.1,365,0,15.24,29.3,1916.3,689.5,16.64999993,-12.00000031,3.09
38,-9.5,32.2,31.9,31.7,33.1,21.6,21,18.1,19.6,269,265,249,264,701,427,86,250,0,0,0,0,1960,1955,1827,1933,90,92,92,91,0,0,0,0,597,550,533,657,0,145,446,407,26.2,25,26.8,-1.8,1464,24.7,0,7675,365,0,12.9,32.6,2337,998,12.99999995,-9.000000326,2
39,-8,30.2,30.8,30.7,31.7,22.2,21.8,19.9,21.3,262,263,253,265,742,515,174,234,0,0,0,0,1901,1941,1863,1941,90,92,92,91,0,0,0,0,505,498,482,573,0,44,308,339,26.1,25.2,26.2,-1,1665,21.7,0,7645,365,0,14.5,32.2,2058,691,13.87499995,-7.500000332,1.2
40,-6.5,30.75,31.125,27.775,29.75,22.6,22.45,18.95,21.7,266.25,268.25,233.75,257.25,442,427.25,75,233.75,0,0,0,0,1936.5,1986.5,1688.5,1874,90,92,92,91,0,0,0,0,504.5,495.25,420.75,488.5,140.25,86.75,345.75,259.75,25.65,23.125,26.5,-3.375,1177.5,35.025,0,7484.75,365,0,14.825,28.85,1909,832.5,8.124999967,-6.000000338,3.45
41,-6,24.95,24.95,22.5,24.3,15.05,14.95,12.6,14.2,200,200,175.5,192.5,354.5,404,89,251.5,2,0.5,0,0.5,1344.5,1370,1157.5,1295.5,88.5,92,92,91,0,0,0.5,0,461.5,442,372.5,454,107,67.5,283.5,225.5,19.25,17.45,19.85,-2.4,1099.5,26.35,3.5,5167.5,363.5,0.5,1.2,24.95,1730,683.5,8.249999967,-5.50000034,2.45
42,-5.5,31,29.1,26.2,28.3,20.1,20.1,17.2,18,255,246,217,232,185,414,142,306,0,0,0,0,1839,1787,1533,1644,90,92,92,91,0,0,0,0,563,484,409,516,378,90,267,210,23.7,21.4,25.2,-3.7,1046,32.3,0,6803,365,0,9.8,27.5,1972,945,9.99999996,-5.000000342,3.8
43,-5,27.6,27.9,28.6,28.8,19,18.6,16.6,18.7,233,233,226,238,440,441,28,261,0,0,0,0,1640,1666,1618,1700,90,92,92,91,0,0,0,0,471,470,486,517,42,63,457,256,23.2,23.2,23.2,0.1,1170,28.4,0,6624,365,0,8.4,30.8,1944,818,4.99999998,-4.500000344,1.2
44,-4.5,30.8,31.4,27.2,29.4,22.4,22.3,19.1,21.9,266,269,232,257,481,450,3,324,0,0,0,0,1932,1992,1668,1870,90,92,92,91,0,0,0,0,496,509,404,463,16,75,401,222,25.6,23.1,26.3,-3.2,1258,28.3,0,7462,365,0,14.5,28.3,1872,714,7.249999971,-4.000000346,3.7
45,-3.5,21.4,21.1,21.6,21.9,12.3,12.4,11.2,12,168,167,164,170,580,577,102,490,2,1,0,0,1069,1079,1052,1090,89,92,92,91,0,0,0,0,401,384,387,422,0,0,285,32,16.7,17,16.7,0.3,1750,15.3,3,4290,364,0,-3.6,26,1594,317,1.999999992,-3.00000035,0.6
46,-2,27.7,28.8,25.2,24.5,20.4,20.9,19.3,18.5,241,249,223,215,151,189,82,74,0,0,0,0,1691,1807,1588,1494,90,92,92,91,0,0,0,0,416,454,344,365,265,265,262,291,23.2,22.3,22.9,-0.6,496,66.9,0,6581,365,0,10.5,27.2,1579,1083,2.49999999,-1.500000356,3.4
